Submission Date,Architect,Architect URL,Email,Address,Project Name,Project Location (Europe or UK),List Materials,Photographer,Photographer URL,Construction Type (select all that apply),Year of Project Completion,Image Rights,Project Built Area,"Professional Scope (your role in this project, select all that apply)",Project Typology (select all that apply),Short Project Description
"Aug 20, 2025",ATELIERFRONT,https://www.atelierfront.nl/projecten/duivenhuisartis-amsterdam,bijlsma@atelierfront.nl,"Zwaardstraat 16 Den Haag, 2584TX Netherlands",Duivenhuis ARTIS,"Amsterdam, Netherlands","Name Material: Laminated and solid European Larch, Name Supplier: Woodteq, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Construction veranda and balcony, Estimate what % of the project is built with this material: 40%, URL: https://woodteq.nl/producten 
Name Material: Pine, Name Supplier: Salverda, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Roof construction, Estimate what % of the project is built with this material: 5%, URL: https://www.salverda.nl/wat-we-doen 
Name Material: Flax, Name Supplier: Isovlas, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Insulation walls, Estimate what % of the project is built with this material: 5%, URL: https://www.isovlas.nl/bouwisolatie/ 
Name Material: Chestnut planks, Name Supplier: Salverda, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Exterior floor, Estimate what % of the project is built with this material: 1%, URL: https://www.salverda.nl/wat-we-doen ",Max Hart Nibbrig,"https://www.mwahartnibbrig.com/biography-1#:~:text=Max%20Hart%20Nibbrig%20is%20an,several%20commissioned%20and%20autonomous%20works.","Extension / Addition
Renovation
Restoration
Conversion / Adaptive Reuse",2025,I am the copyright holder of the submitted images. I grant March Materials UG** the right to publish the images on its online platform and social media channels.*,52,"Architecture
Interior Architecture","Commercial
Zoo","The Duivenhuis, a monument in ARTIS, had for years remained a hidden folly. All the old elegant woodwork and balconies were gone. We restored the building and added a wooden veranda with a green roof, instead of adding a large indoor space. An unused corner of ARTIS has been brought back to life."
"Aug 20, 2025",Henning Larsen,https://henninglarsen.com/projects/feldballe-school,viwo@henninglarsen.com,"Vesterbrogade 76, 4 København V, 1620 Denmark",Feldballe School,"Rønde, Denmark","Name Material: Heat Modified spruce boards (surface untreated), Name Supplier: Moelven, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Cladding of all facades and roof. Designed for ease of replacement at end-of-life., Estimate what % of the project is built with this material: 10%, URL: https://www.moelven.com/uk/products/pine--spruce---our-raw-material/ 
Name Material: Eelgrass, Name Supplier: In the product Notech by WindowMaster, Select all applicable material categories: Biobased
Circular
Local, Describe where the material is used: Eelgrass is used inside the ventilation windows as an air filter, filtering outside air, including cleaning, cooling and stabilizing the air, as well as absorbing odors, moisture and noise., Estimate what % of the project is built with this material: 1%, URL: https://www.windowmaster.com/project-references/feldballe-school/  
Name Material: Clay render:  BARA claypowder base with UKU 1 mm finish, Name Supplier: UkU, Select all applicable material categories: Biodegradable
Circular, Describe where the material is used: Render on interior side of external walls, Estimate what % of the project is built with this material: 5%, URL: https://uku.eu/en/clay-products/  
Name Material: EcoCocon structural wall elements, Name Supplier: EcoCocon, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Structural external walls that also carry the roof beams, Estimate what % of the project is built with this material: 60%, URL: https://ecococon.eu/us/the-panel-system 
Name Material: Linoleum, Name Supplier: Forbo, Select all applicable material categories: Biobased
Circular, Describe where the material is used: Flooring in all rooms, Estimate what % of the project is built with this material: 5%, URL: https://www.forbo.com/flooring/de-de/produkte/linoleum/cdni9n  ","Rasmus Hjortshøj, Helene Høyer Mikkelsen ",https://www.rasmushjortshoj.com/,Extension / Addition,2025,I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*,250,"Architecture
Research and innovation","Institutional / Public
Education","The 250 m² extension of Feldballe School demonstrates how carbon-sequestering biogenic materials such as wood, seagrass, and straw, can replace conventional ones. Designed for disassembly, reuse, and repair, it offers a scalable model of circular architecture for a generation facing climate change."
"Aug 20, 2025",Henning Larsen,https://henninglarsen.com/projects/growing-matters,viwo@henninglarsen.com,"Vesterbrogade 76, 4 København V, 1620 Denmark",Growing matter(s),"Milan, Italy","Name Material: Mycelium grown on a substrate of hemp, flour, and sugar to support their development as well as some beer dregs introduced as an experimental component. The inoculated mycelium spores were Pleurotus Eryngii and Pleurotus Ostreatus., Name Supplier: Spore.nl and MaBa (Politecnico of Milano), Select all applicable material categories: Biobased
Biodegradable
Circular
Local, Describe where the material is used: The pavilion is composed of 80 mycelium spheres of 80cm diametre. All the spheres are made of mycelium. , Estimate what % of the project is built with this material: 40%, URL: https://spore.nl/pages/mycelium  
Name Material: Willow branches, Name Supplier: Marcus Berno, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Handmade hollow spheres made from willow branches. The branches form the structure on which the mycelium is grown., Estimate what % of the project is built with this material: 30%
Name Material: Steel scaffolding, Name Supplier: Gruppo di Falco s.r.l, Select all applicable material categories: Circular
Local, Describe where the material is used: The spheres of the pavilion were hung on the scaffolding, that created a cloud-like group of suspended spheres. The scaffolding elements were rented from a construction company, and went back to ""business as usual"" after the Design Week., Estimate what % of the project is built with this material: 30%, URL: https://www.gruppodifalco.it  ","Zoey Kroening, Studio Laure Elise, DSL Studio",https://dslstudio.it/,Design Week pavilion,2025,I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*,24,"Architecture
Research and innovation",Culture,"Growing matter(s) invites visitors into an interactive space that shows the potential of mycelium as a living, evolving building material. Both a structure and experiment, the pavilion highlights circularity, material authenticity, and the possibilities of designing with organic growth."
"Aug 20, 2025",ATELIERFRONT,https://www.atelierfront.nl/projecten/huisbw-zeist,bijlsma@atelierfront.nl,"Zwaardstraat 16 Den Haag, 2584TX Netherlands",Buiten Huis Zeist,"Zeist, Netherlands","Name Material: Laminated European Larch, Name Supplier: HEKO, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: columns and beams, Estimate what % of the project is built with this material: 10%, URL: https://www.hekospanten.nl/producten/clt-wand-vloer-en-dakelementen/ 
Name Material: Larch planks, Name Supplier: Houthandel Bunnik, Select all applicable material categories: Biobased
Biodegradable
Local, Describe where the material is used: Exterior and interior cladding, Estimate what % of the project is built with this material: 10%, URL: https://bunnikhout.nl/houtsoorten/siberisch-lariks/ 
Name Material: Adobe bricks, Name Supplier: ClayTec, Select all applicable material categories: Circular, Describe where the material is used: Internal walls, Estimate what % of the project is built with this material: 5% https://claytec.de/en/product/clay-bricks-and-rammed-earth/
Name Material: Wood fiber insulation, Name Supplier: GUTEX, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: External walls, Estimate what % of the project is built with this material: 20%, URL: https://gutex.co.uk/product-range/products/product/gutex-thermoflex-1/   
Name Material: Frake, Name Supplier: Platowood, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Window and doorframes, Estimate what % of the project is built with this material: 1%, URL: https://www.platowood.com/products/types-of-wood/platowood-frake-en/ 
Name Material: Chestnut planks, Name Supplier: Houthandel Bunnik, Select all applicable material categories: Biobased
Biodegradable
Local, Describe where the material is used: Outdoor floor, Estimate what % of the project is built with this material: 5%, URL: https://bunnikhout.nl  
Name Material: Clay rendering, Name Supplier: Claytech, Select all applicable material categories: Circular, Describe where the material is used: Interior wall finishing, Estimate what % of the project is built with this material: 1% https://claytec.de/en/product/clay-plasters/ 
Name Material: Calc rendering, Name Supplier: Gräfix, Select all applicable material categories: Circular, Describe where the material is used: Exterior wall finishing, Estimate what % of the project is built with this material: 1%, URL: https://www.graefix.de/en/ 
Name Material: Hempclay panel, Name Supplier: Schleusner, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: Some interior walls, Estimate what % of the project is built with this material: 1% https://schleusner.de/lehmbauplatten/  
",Max Hart Nibbrig,"https://www.mwahartnibbrig.com/biography-1#:~:text=Max%20Hart%20Nibbrig%20is%20an,several%20commissioned%20and%20autonomous%20works.",New Build,2025,I am the copyright holder of the submitted images. I grant March Materials UG** the right to publish the images on its online platform and social media channels.*,435,"Architecture
Interior Architecture",Residential,"We designed a house with outdoor chambers, in which you can live comfortably inside and outside all year round. The house has an appealing wooden construction and clay rendered walls. It is well insulated with breathable biobased materials, creating a noticeably pleasant and healthy indoor climate."
"Aug 18, 2025",Urban Climate Architects,https://www.ucarchitects.com/en/projects/knoest-biobased-living-in-the-green-heart-of-pijnacker-nl,officemanager@ucarchitects.com,"Haagweg 129 Delft, 2612 CR Netherlands",Knoest,"Pijnacker, Netherlands","Name Material: Cross-Laminated Timber (CLT) , Name Supplier: KLH Massivholz GmbH, Select all applicable material categories: Biobased
Circular, Describe where the material is used: Structural floors, walls, roof, and interior walls, Estimate what % of the project is built with this material: 60%, URL: https://www.klh.at/en/cross-laminated-timber/ 
Name Material: Dekton Façade Panels, Name Supplier: Local supplier, Select all applicable material categories: Circular
Local, Describe where the material is used: Selected exterior façade areas, Estimate what % of the project is built with this material: 5%
Name Material: Thermally Modified Fraké Wood, Name Supplier: Platowood, Select all applicable material categories: Biobased
Circular, Describe where the material is used: Exterior façade cladding, Estimate what % of the project is built with this material: 5%, URL: https://www.platowood.com/products/types-of-wood/platowood-frake-en/ 
Name Material: Thermally Modified Fraké Wood, Name Supplier: Foreco, Select all applicable material categories: Biobased
Circular, Describe where the material is used: Exterior façade cladding, Estimate what % of the project is built with this material: 5%, URL: https://www.foreco.nl/en/products/safewood-frx   
Name Material: Urban Mining Concrete, Name Supplier: New Horizon, Select all applicable material categories: Circular
Local, Describe where the material is used: Foundation and ground floor, Estimate what % of the project is built with this material: 15%, URL: https://newhorizon.nl/material-balance/urban-mining-concrete/ 
Name Material: Biodiversity Add-ons (bird nesting boxes, bee hotels), Name Supplier: Local ecological suppliers, Select all applicable material categories: Biobased
Circular
Local, Describe where the material is used: Ground level, façades, and green zones, Estimate what % of the project is built with this material: 1%
",Urban Climate Architects,https://www.ucarchitects.com/en/projects/low-carbon-timber-construction-on-the-grote-kreek-in-rotterdam-nl,New Build,2025,"I am the copyright holder of the submitted images. I grant March Materials UG** the right to publish the images on its online platform and social media channels.*
I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*",3100,Architecture,Residential,"KNOEST is a five-story wooden pavilion in Pijnacker, designed by Urban Climate Architects. Built in CLT and surrounded by a biodiverse garden, it offers 29 biobased homes that connect city and landscape—combining circular design, energy efficiency and social living."
"Aug 18, 2025",Urban Climate Architects,https://www.ucarchitects.com/en/projects/low-carbon-timber-construction-on-the-grote-kreek-in-rotterdam-nl,officemanager@ucarchitects.com,"Haagweg 129 Delft, 2612 CR Netherlands",The Salvation Army Grote Kreek,"Delft, Netherlands","Name Material: Cross-Laminated Timber (CLT) , Name Supplier: KLH Massivholz GmbH, Select all applicable material categories: Biobased
Circular, Describe where the material is used: All structural components: walls, floors, roof, and ceilings, Estimate what % of the project is built with this material: 60%, URL: https://www.klh.at/en/cross-laminated-timber/ 
Name Material: Dutch Larch Timber , Name Supplier: Staatsbosbeheer, Select all applicable material categories: Biobased
Circular
Local, Describe where the material is used: Façade cladding, balcony railings, vertical detailing, Estimate what % of the project is built with this material: 10%, URL: https://www.staatsbosbeheer.nl/zakendoen/hollands-hout/houtcollecties/houtcollectie-buiten 
Name Material: Timber Window Frames and Doors , Name Supplier: KLH / Local manufacturer, Select all applicable material categories: Biobased
Circular, Describe where the material is used: All windows and external doors, Estimate what % of the project is built with this material: 15%, URL: https://www.klh.at/en/company/ 
Name Material: Green Facade & Biodiverse Landscaping, Name Supplier: Local landscape contractor, Select all applicable material categories: Biobased
Local, Describe where the material is used: Inner courtyard, façade planting, Estimate what % of the project is built with this material: 5%
Name Material: Circular Roofing Citumen, Name Supplier: Derbigum, Select all applicable material categories: Circular, Describe where the material is used: Flat roof waterproofing, Estimate what % of the project is built with this material: 3%, URL: https://derbigum.com/waterproofing/circular-roof/ 
Name Material: Circular Roofing Citumen, Name Supplier: Icopal, Select all applicable material categories: Circular, Describe where the material is used: Flat roof waterproofing, Estimate what % of the project is built with this material: 2%, URL: https://www.bmigroup.com/nl/bmi-icopal/ ",Urban Climate Architects,https://www.ucarchitects.com/en/projects/low-carbon-timber-construction-on-the-grote-kreek-in-rotterdam-nl,New Build,2023,"I am the copyright holder of the submitted images. I grant March Materials UG** the right to publish the images on its online platform and social media channels.*
I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*",2400,Architecture,Residential,"The Grote Kreek is the Netherlands’ first fully CLT-built care facility. Designed for the Salvation Army, this biobased, solar-powered building offers shelter, care, and community—combining sustainability, inclusivity, and biodiversity in one humane and forward-looking design."
"Aug 17, 2025",Mark Hackett architect,https://hackettarchitects.com/projects.html,mark@hackettarchitects.com,"13 Rosemount Gardens Belfast, BT155AG United Kingdom",Woolstore,"Caledon, United Kingdom","Name Material: Lime NHL3.5 and Hot Lime, Name Supplier: Heritage Ltd (supplier), Select all applicable material categories: Circular
Local, Describe where the material is used: All lime repairs and stone, lime plastering and limecrete, Estimate what % of the project is built with this material: 10%, URL: https://www.heritageltd.com/limeproducts 
Name Material: Lime NHL3.5, Name Supplier: Saint-Astier (manufacturer), Select all applicable material categories: Circular
Local, Describe where the material is used: All lime repairs and stone, lime plastering and limecrete, Estimate what % of the project is built with this material: 5%, URL: https://www.saint-astier.co.uk/products/nhl-3-5/ 
Name Material: Hot Lime, Name Supplier: RoundTower (manufacturer), Select all applicable material categories: Circular
Local, Describe where the material is used: All lime repairs and stone, lime plastering and limecrete, Estimate what % of the project is built with this material: 5%, URL: https://www.roundtowerlime.com/product/ready-mixed-hot-lime-mortar 
Name Material: Cork Linoleum floors, Name Supplier: Forbo Marmoleum, Select all applicable material categories: Biobased
Biodegradable, Describe where the material is used: All floors and use of cork insulation edges and roof, Estimate what % of the project is built with this material: 5%, URL: https://www.forbo.com/flooring/en-gl/products/linoleum/cmlack 
Name Material: Timber and engineered Joists, Name Supplier: Rafferty Roof Trusses, Select all applicable material categories: Biobased
Biodegradable
Local, Describe where the material is used: The engineered joists are used with standard joists on all floors old and new. New zinc clad roof in timber supported off a  light exposed concrete frame used as lateral support + bracing., Estimate what % of the project is built with this material: 15%, URL: https://www.raffertyrooftrusses.co.uk/joists 
Name Material: Stone and Slate, Name Supplier: Reused from existing building, Select all applicable material categories: Circular
Local, Describe where the material is used: The bulk of the building was reused, local stone and slate repairs. There was clearing of some 20C cement plaster to allow the walls to breath and be repaired in lime and lime grouts to voids. The slate roof had been repaired to stabilise building a decade before, this was repaired and retained along with original Pitched Pine trusses., Estimate what % of the project is built with this material: 50%
Name Material: Sheep wool insulation, Name Supplier: Heritage Ltd (supplier), Select all applicable material categories: Biobased
Biodegradable
Circular
Local, Describe where the material is used: The material was used behind timber traditional linings and around windows along with hemp flex and hemp. This was to upgrade the overall insulation in solid wall but to mitigate moisture risks. This insulation was then used in vented voids and timber structures in the new building. All natural insulations were used in roofs walls and in floors for partial acoustic separation and in conjunction with underfloor heating run off the heat pump. The underfloor heating in a timber solution is responsive but militates any lag in the heavy stone structure. The linings are also used to allow stone to be exposed but lined at the level of childrens touch and play. Deep windows in stone are timber lined as play spaces., Estimate what % of the project is built with this material: 1%, URL: https://www.heritageltd.com/insulations 
Name Material: Sheep wool insulation, Name Supplier: SheepWool (manufacturer), Select all applicable material categories: Biobased
Biodegradable
Circular
Local, Describe where the material is used: The material was used behind timber traditional linings and around windows along with hemp flex and hemp. This was to upgrade the overall insulation in solid wall but to mitigate moisture risks. This insulation was then used in vented voids and timber structures in the new building. All natural insulations were used in roofs walls and in floors for partial acoustic separation and in conjunction with underfloor heating run off the heat pump. The underfloor heating in a timber solution is responsive but militates any lag in the heavy stone structure. The linings are also used to allow stone to be exposed but lined at the level of childrens touch and play. Deep windows in stone are timber lined as play spaces., Estimate what % of the project is built with this material: 4%, URL: https://www.sheepwoolinsulation.com/about/why-sheep-wool/  
Name Material: Concrete., Name Supplier: Local, Select all applicable material categories: Local, Describe where the material is used: Concrete was used for the retaining wall against the slope and some light frames from this base. This retaining wall however allowed the middle floors of the building to be effectively at ground level of the new garden on the slope. This made the upper building accessible and possible since 3 storey kindergartens are not common in this country, it aided the fire exit strategy and plan that was closely worked with the authority. Elsewhere concrete is not used in screeds anywhere, timber with insulation and lino+oak flooring is employed. The concrete frames give exterior expression, however they are bracing for timber frame elements that make the bulk of the upper rooms., Estimate what % of the project is built with this material: 15%
Name Material: Lime wash and clay paints, Name Supplier: Heritage Ltd (supplier), Select all applicable material categories: Biobased
Circular
Local, Describe where the material is used: Heritage Ltd is a local company providing many natural materials in an isolated region that has been slow to adopt. Lime wash however was traditional in Ireland for ordinary stone houses and a character of poor and rural homes. The walls inside had been cleared of cement on inner lower floors, this waste was used onsite as fill. Limewash was slightly coloured with natural additives and gives an antiseptic effect and is tolerant of moisture which was a concern as the building is first used. The lime stone walls five texture and  depth to the classrooms and were found to aid good acoustics to the room. Lesser areas of Earthborn clay paint were used for similar reasons of touch, breathability and use on stone/wood., Estimate what % of the project is built with this material: 1%, URL: https://www.heritageltd.com/decoration
Name Material: Lime wash, Name Supplier: Roundtower, Select all applicable material categories: Biobased
Circular
Local, Describe where the material is used: The walls inside had been cleared of cement on inner lower floors, this waste was used onsite as fill. Limewash was slightly coloured with natural additives and gives an antiseptic effect and is tolerant of moisture which was a concern as the building is first used. The lime stone walls five texture and  depth to the classrooms and were found to aid good acoustics to the room., Estimate what % of the project is built with this material: 2%, URL: https://www.roundtowerlime.com/product/lime-wash 
Name Material: Clay paints, Name Supplier: Earthborn, Select all applicable material categories: Biobased
Circular
Local, Describe where the material is used: Lesser areas of Earthborn clay paint were used for similar reasons of touch, breathability and use on stone/wood., Estimate what % of the project is built with this material: 2%, URL: https://earthbornpaints.co.uk/colours/ 
Name Material: Stone, Name Supplier: Irish Blue Limestone - McMonigles and Irish Quarries, Select all applicable material categories: Circular
Local, Describe where the material is used: Irish Blue limestone is one of the few stones now quarried for larger use. It was used in the entrance areas outside and the inner foyer. These areas are heavily trafficked and use of prams/dirt. This heated floor gives grip, nature foyer finish and accepts use, drying off quickly. It was also used in the panels of the new classroom., Estimate what % of the project is built with this material: 1%, URL: https://www.brachot.com/en/quarries/kilkenny-limestone/ 
Name Material: Timber Windows, Name Supplier: Local supplier. New timber sash windows were required to match the old windows in the conservation plan. These gave good controlled ventilation top and bottom. We continued timber windows in all locations and uses a giant sash window in the new classroom, Select all applicable material categories: Biobased
Local, Describe where the material is used: New timber sash windows were required to match the old windows in the conservation plan. These gave good controlled ventilation top and bottom. We continued timber windows in all locations and uses a giant sash window in the new classroom, Estimate what % of the project is built with this material: 5%
Name Material: Oak floor, Name Supplier: Local, Select all applicable material categories: Biodegradable
Circular
Local, Describe where the material is used: The oak is used on the face of new timber stairs. There was a strategy to use timber raised and insulated floors at all points so that the floor would have slight resilience and give to children (falling) and the use of cork layers and natural Lino. On the stairs the oak was a similar less hard material than concrete and it allowed the contrast change in the noising required to be done in an oak stain - this avoided hard or metal edges, a practical consideration. But throughout the building the finishes aim to be non institutional. Pendant lights, bronzed handles, oak, Lino, painted dado rails, all were aligned with a 'big house', or the old houses some children live in still in the area, not a school., Estimate what % of the project is built with this material: 1%
",Mark Hackett,https://hackettarchitects.com/projects.html,"Extension / Addition
Renovation
Restoration
Conversion / Adaptive Reuse",2021,I am the copyright holder of the submitted images. I grant March Materials UG** the right to publish the images on its online platform and social media channels.*,380,Architecture,Institutional / Public,"Stone from 1830 in a former mill village on the border saved by innovative social grant, the kindergarten saves travel and keeps local schools open. Conservation materials with the minimal use of concrete for garden retaining wall  / frame that support timber structures, use of AS Heat Pump."
"Aug 17, 2025",Jan Braker Architekt,https://janbraker.de/projects/show/heinrich-eschenburg-school_494,jan.braker@janbraker.de,"Große Reichenstraße 27 Hamburg, 20457 Germany",Heinrich Eschenburg Schule,"Holm, Germany","Name Material: CLT, Name Supplier: Stora Enso, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Wall and roof construction with visible surface, Estimate what % of the project is built with this material: 20%, URL: https://www.storaenso.com/de-de/products/mass-timber-construction/building-products/clt 
Name Material: Tiles, Name Supplier: Petersen Tegl, Select all applicable material categories: Circular, Describe where the material is used: Facade material based on the existing building, Estimate what % of the project is built with this material: 5%, URL: https://de.petersen-tegl.dk/ziegelsteine/produkte/ 
Name Material: Timber truss, Name Supplier: C.H.Maack, Select all applicable material categories: Biobased
Biodegradable
Circular
Local, Describe where the material is used: The supporting structure for the glass roof in the center of the building, Estimate what % of the project is built with this material: 10%, URL: https://maack-bau.de/heinrich-eschenburg-schule-in-holm/ 
",Jakob Börner,https://www.jakobboerner.com/,"New Build
Extension / Addition
Renovation",2024,I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*,2995,Architecture,Institutional / Public,"Die Tragkonstruktion der Schulerweiterung besteht aus vorgefertigten Brettsperrholzplatten und Holzfachwerkträgern, die Fassade aus Ziegeln. Das Gebäude wird mit einer Luftwärmepumpe beheizt und natürlich be- und entlüftet, unterstützt durch den Kamineffekt und die Steuerung der Fensterelemente."
"Aug 17, 2025",Jan Braker Architekt,https://janbraker.de/projects/show/kita-bachlinge_489,jan.braker@janbraker.de,"Große Reichenstraße 27 Hamburg, 20457 Germany",Kita Bachlinge,"Lütjensee, Germany","Name Material: CLT, Name Supplier: Zimmereimeister Karsten Jantzen, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Roof construction, Estimate what % of the project is built with this material: 15%, URL: https://www.zimmerermeister-jantzen.de/leistungen/holzbauarbeiten 
Name Material: Heradesign Akustikdecken, Name Supplier: Knauff, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Acoustic ceilings, Estimate what % of the project is built with this material: 5%, URL: https://knauf.com/de-DE/p/produkte/decken-wandabsorber-35568?search=Heradesign%20Akustikdecken 
Name Material: Larch wood, Name Supplier: Zimmereimeister Karsten Jantzen, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Facade and pergola construction, Estimate what % of the project is built with this material: 10%, URL: https://www.zimmerermeister-jantzen.de 
",Jakob Börner,https://www.jakobboerner.com/,New Build,2022,I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*,995,Architecture,Institutional / Public,"Die Dachkonstruktion des Kindergartens besteht aus vorgefertigten Brettsperrholzplatten mit einer Tragkonstruktion aus Holz und Holzständerwerk. Das Gebäude wird mit einer Luftwärmepumpe & Fußbodenheizung beheizt, nutzt den Kamineffekt zur natürlichen Be- und Entlüftung und hat eine PV-Anlage."
"Aug 17, 2025",Jan Braker Architekt,https://janbraker.de/projects/show/kindergarten-muensterdorf_490,jan.braker@janbraker.de,"Große Reichenstraße 27 Hamburg, 20457 Germany",Kita Münsterdorf,"Münsterdorf, Germany","Name Material: CLT, Name Supplier: Stora Enso, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Supporting structure in wall and roof areas with visible surface, Estimate what % of the project is built with this material: 30%, URL: https://www.storaenso.com/de-de/products/mass-timber-construction/building-products/clt 
Name Material: Heradesign Akustikplatten, Name Supplier: Knauff, Select all applicable material categories: Biobased
Biodegradable
Circular, Describe where the material is used: Acoustic ceilings, Estimate what % of the project is built with this material: 5%, URL: https://knauf.com/de-DE/p/produkte/decken-wandabsorber-35568?search=heradesign%20akustikplaten 
",Jakob Börner,https://www.jakobboerner.com/,"New Build
Extension / Addition",2024,I am not the copyright holder of the submitted images. I confirm that I have obtained permission from the copyright holder(s) to allow March Materials UG** to publish the images on its online platform and social media channels.*,500,Architecture,Institutional / Public,"Die Wand- und Dachkonstruktion des Kindergartens in Münsterdorf besteht aus vorgefertigten Brettsperrholzplatten, welche komplett zusammengesetzt werden konnten. Das Gebäude wird mit einer Luftwärmepumpe & Fußbodenheizung beheizt und nutzt den Kamineffekt zur natürlichen Be- und Entlüftung."
